x_grid,y_grid,river_dept,geometry,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
650499.321,3266679.635,1.25,POINT (650499.321 3266679.6350000002),0.04046556,0.042176913,0.044147026,0.04568534,0.04752728,0.049344819,0.050834525,0.052654762,0.054183215,0.056309562,0.058638602,0.060850739,0.063383162,0.065228134,0.067155175,0.069972314,0.072179414,0.075084977,0.077297986,0.079996489,0.082159378,0.084728122,0.08709354,0.089074962,0.092021167,0.094193049,0.096434839,0.097484671,0.098763853,0.09934289,0.099172205,0.098910816,0.099312104,0.100123815,0.10152439,0.10234651,0.103081845,0.104362071,0.10588026,0.106344648,0.105940424,0.106230259,0.105618007,0.105048716,0.104917549,0.105691262,0.106058903,0.10694772,0.108083151,0.108652271,0.108174108,0.106394671,0.103754848,0.099357001,0.092478663,0.086885266,0.07929486,0.070129253,0.064724654,0.062739693,0.062811635,0.06212844,0.061508577,0.063684545,0.062962689,0.062812269,0.063275844,0.065385021,0.067090414,0.068868607,0.07028082,0.071840353,0.072729461,0.072291389,0.070182122,0.066733956,0.060281727,0.054115828,0.051406335,0.049670558,0.048307393,0.04685564,0.045491654,0.044299293,0.043272074,0.041287687,0.040167343,0.037422791,0.036633167,0.03556196,0.03513135
650504.021,3266674.935,3.555,POINT (650504.021 3266674.935),0.04011317,0.041874934,0.043879509,0.045338988,0.047143277,0.048923716,0.050463647,0.052151427,0.053727135,0.055826873,0.057846952,0.060269579,0.062596254,0.064754866,0.066483408,0.068796664,0.071607836,0.074149974,0.076763459,0.079151474,0.081261873,0.084051915,0.086110659,0.088068418,0.090795696,0.092950858,0.095067948,0.096485339,0.097355552,0.09801843,0.098013662,0.097797178,0.098241985,0.099080227,0.100472964,0.10104496,0.10160736,0.103146933,0.104480915,0.105042867,0.104870953,0.10495007,0.104404867,0.10390944,0.103634618,0.103760086,0.104554646,0.105303943,0.106651329,0.107329018,0.106550641,0.104701184,0.10209956,0.097346306,0.090839125,0.084897079,0.076916911,0.067977838,0.062424973,0.060723245,0.060462166,0.059749801,0.059788436,0.06117709,0.060836464,0.060579699,0.061383251,0.062838234,0.064582191,0.066542275,0.067786783,0.06945204,0.070171833,0.07004717,0.067683555,0.064094506,0.057534456,0.052111622,0.049329575,0.047660593,0.04624797,0.044586834,0.043391928,0.041916434,0.040890764,0.039509479,0.037914522,0.035451617,0.034326453,0.03364801,0.033198275
650504.021,3266679.635,2.115333333,POINT (650504.021 3266679.6350000002),0.04046556,0.042176913,0.044147026,0.04568534,0.04752728,0.049344819,0.050834525,0.052654762,0.054183215,0.056309562,0.058638602,0.060850739,0.063383162,0.065228134,0.067155175,0.069972314,0.072179414,0.075084977,0.077297986,0.079996489,0.082159378,0.084728122,0.08709354,0.089074962,0.092021167,0.094193049,0.096434839,0.097484671,0.098763853,0.09934289,0.099172205,0.098910816,0.099312104,0.100123815,0.10152439,0.10234651,0.103081845,0.104362071,0.10588026,0.106344648,0.105940424,0.106230259,0.105618007,0.105048716,0.104917549,0.105691262,0.106058903,0.10694772,0.108083151,0.108652271,0.108174108,0.106394671,0.103754848,0.099357001,0.092478663,0.086885266,0.07929486,0.070129253,0.064724654,0.062739693,0.062811635,0.06212844,0.061508577,0.063684545,0.062962689,0.062812269,0.063275844,0.065385021,0.067090414,0.068868607,0.07028082,0.071840353,0.072729461,0.072291389,0.070182122,0.066733956,0.060281727,0.054115828,0.051406335,0.049670558,0.048307393,0.04685564,0.045491654,0.044299293,0.043272074,0.041287687,0.040167343,0.037422791,0.036633167,0.03556196,0.03513135
650508.721,3266674.935,3.721111111,POINT (650508.721 3266674.935),0.039948944,0.04177608,0.043651272,0.045160934,0.047037419,0.048849344,0.050292064,0.052025184,0.053469386,0.055569887,0.057893727,0.06016548,0.062361207,0.064561486,0.066129185,0.068810903,0.071318515,0.074094526,0.076410137,0.078956954,0.081001259,0.083841898,0.085922979,0.087773971,0.090545774,0.092731006,0.095138483,0.096187122,0.097192913,0.09762004,0.097733848,0.09761101,0.097985335,0.098982103,0.100062579,0.100897871,0.101182096,0.102725066,0.104224414,0.104535736,0.104464501,0.104555525,0.103807218,0.10360349,0.103206992,0.10390126,0.104359634,0.104592919,0.106490172,0.106711127,0.106251925,0.104264386,0.101223759,0.096780114,0.090584941,0.084594093,0.076643415,0.067383714,0.061951008,0.060263444,0.060082365,0.059250649,0.059360441,0.06003372,0.059951518,0.059997659,0.060843334,0.062539734,0.064147241,0.066043615,0.067421637,0.068945847,0.069660574,0.069802038,0.067246355,0.063530035,0.057389978,0.051407505,0.0486825,0.047079083,0.045331743,0.044168446,0.042992428,0.041490506,0.040365141,0.038900327,0.037259456,0.034688842,0.033981215,0.033230219,0.032638695
650513.421,3266670.235,4.107142857,POINT (650513.421 3266670.2350000003),0.039948944,0.04177608,0.043651272,0.045160934,0.047037419,0.048849344,0.050292064,0.052025184,0.053469386,0.055569887,0.057893727,0.06016548,0.062361207,0.064561486,0.066129185,0.068810903,0.071318515,0.074094526,0.076410137,0.078956954,0.081001259,0.083841898,0.085922979,0.087773971,0.090545774,0.092731006,0.095138483,0.096187122,0.097192913,0.09762004,0.097733848,0.09761101,0.097985335,0.098982103,0.100062579,0.100897871,0.101182096,0.102725066,0.104224414,0.104535736,0.104464501,0.104555525,0.103807218,0.10360349,0.103206992,0.10390126,0.104359634,0.104592919,0.106490172,0.106711127,0.106251925,0.104264386,0.101223759,0.096780114,0.090584941,0.084594093,0.076643415,0.067383714,0.061951008,0.060263444,0.060082365,0.059250649,0.059360441,0.06003372,0.059951518,0.059997659,0.060843334,0.062539734,0.064147241,0.066043615,0.067421637,0.068945847,0.069660574,0.069802038,0.067246355,0.063530035,0.057389978,0.051407505,0.0486825,0.047079083,0.045331743,0.044168446,0.042992428,0.041490506,0.040365141,0.038900327,0.037259456,0.034688842,0.033981215,0.033230219,0.032638695
650513.421,3266674.935,3.996666667,POINT (650513.421 3266674.935),0.039948944,0.04177608,0.043651272,0.045160934,0.047037419,0.048849344,0.050292064,0.052025184,0.053469386,0.055569887,0.057893727,0.06016548,0.062361207,0.064561486,0.066129185,0.068810903,0.071318515,0.074094526,0.076410137,0.078956954,0.081001259,0.083841898,0.085922979,0.087773971,0.090545774,0.092731006,0.095138483,0.096187122,0.097192913,0.09762004,0.097733848,0.09761101,0.097985335,0.098982103,0.100062579,0.100897871,0.101182096,0.102725066,0.104224414,0.104535736,0.104464501,0.104555525,0.103807218,0.10360349,0.103206992,0.10390126,0.104359634,0.104592919,0.106490172,0.106711127,0.106251925,0.104264386,0.101223759,0.096780114,0.090584941,0.084594093,0.076643415,0.067383714,0.061951008,0.060263444,0.060082365,0.059250649,0.059360441,0.06003372,0.059951518,0.059997659,0.060843334,0.062539734,0.064147241,0.066043615,0.067421637,0.068945847,0.069660574,0.069802038,0.067246355,0.063530035,0.057389978,0.051407505,0.0486825,0.047079083,0.045331743,0.044168446,0.042992428,0.041490506,0.040365141,0.038900327,0.037259456,0.034688842,0.033981215,0.033230219,0.032638695
650518.121,3266665.535,4.176,POINT (650518.121 3266665.535),0.039790381,0.041545212,0.043506771,0.044955652,0.046875477,0.048612505,0.05005138,0.051737268,0.053215194,0.055205937,0.057518739,0.059780836,0.062109273,0.064239919,0.065944493,0.068255372,0.070862263,0.07346151,0.07586699,0.078594148,0.080484517,0.083350696,0.085538141,0.087404527,0.089893438,0.092200585,0.094344862,0.095730744,0.096435487,0.0971779,0.097481221,0.096977562,0.097445972,0.098325759,0.099621944,0.100392975,0.100944065,0.102245025,0.103449196,0.103807725,0.103782587,0.103721105,0.103304632,0.10297171,0.102700502,0.102944463,0.103707083,0.104488403,0.105517693,0.106524326,0.105420329,0.103435449,0.100752972,0.095923692,0.089556687,0.083178751,0.075345486,0.066196382,0.060730215,0.059460077,0.058916405,0.058235805,0.05809683,0.058737367,0.058922738,0.058962401,0.059654608,0.061518669,0.063108414,0.064921848,0.06644889,0.067955881,0.068739742,0.068302609,0.066093065,0.062316287,0.055887017,0.050248828,0.047698561,0.045752704,0.044108447,0.042751502,0.041708272,0.040225208,0.039129447,0.037870973,0.036100015,0.033609305,0.032975074,0.032024488,0.031588469
650518.121,3266670.235,4.16,POINT (650518.121 3266670.2350000003),0.039993532,0.041719351,0.043608621,0.045160282,0.046989936,0.048858952,0.050116252,0.051907878,0.053406771,0.055502545,0.057930931,0.060054883,0.062300418,0.064459689,0.066080809,0.068734042,0.070940122,0.074145414,0.076241493,0.078788698,0.080851384,0.083610736,0.085942678,0.087498523,0.090615481,0.092808753,0.095115907,0.096159764,0.097030193,0.097694695,0.097824536,0.097549848,0.097751535,0.098730266,0.099888712,0.100690342,0.101241179,0.103021592,0.104262091,0.104461871,0.104175098,0.104466356,0.103997052,0.103037231,0.102974616,0.103904009,0.104126334,0.104533046,0.106584229,0.106610738,0.106091857,0.104116939,0.101057626,0.09638039,0.090226561,0.08388865,0.076143257,0.067264505,0.061805829,0.060123581,0.059967797,0.059004754,0.058661535,0.059450131,0.059464496,0.059743837,0.060309548,0.062097024,0.063887566,0.065713555,0.067145251,0.06841927,0.06917081,0.069239289,0.066709906,0.06320066,0.057115298,0.050801065,0.048387658,0.046578374,0.044974416,0.043542415,0.042306181,0.04088448,0.039851066,0.038325299,0.036707249,0.033948358,0.033783671,0.03257687,0.032065615
650522.821,3266665.535,4.333333333,POINT (650522.821 3266665.535),0.039782792,0.04147777,0.043437596,0.04491682,0.046812128,0.04855283,0.049990714,0.051694706,0.053217318,0.055237278,0.057554033,0.059703916,0.062049866,0.064331822,0.065938495,0.068241708,0.070830852,0.073566623,0.075880341,0.078551434,0.08055526,0.083441854,0.08553654,0.087367408,0.090056412,0.0923163,0.094523557,0.095822968,0.096522011,0.097286053,0.09762305,0.09710782,0.097612023,0.098467439,0.099582486,0.100563936,0.101017334,0.102377363,0.10349343,0.104001164,0.103696339,0.103943385,0.10329029,0.102996133,0.102799632,0.103174061,0.103735417,0.104434513,0.105520763,0.106311567,0.105681755,0.103567205,0.100776933,0.095949322,0.089700662,0.083365552,0.075668417,0.066230558,0.060687456,0.059435483,0.059227366,0.058409277,0.058084879,0.0587052,0.058849331,0.058985751,0.059643675,0.061502714,0.063143842,0.06509883,0.066458553,0.067793839,0.068682477,0.068254359,0.065994054,0.062616833,0.05618858,0.05024929,0.047738086,0.045770083,0.044190526,0.042873669,0.04174082,0.040240038,0.03934307,0.037784126,0.036068711,0.033616517,0.033000413,0.032079529,0.031297948
650536.921,3266660.835,4.727272727,POINT (650536.921 3266660.835),0.039701477,0.041443381,0.043354381,0.044880018,0.046613168,0.0484608,0.049938142,0.051581595,0.053169787,0.05528326,0.057533905,0.05975236,0.061956167,0.064340495,0.065823339,0.06840948,0.07107503,0.073767357,0.076159157,0.078698367,0.080831289,0.083316006,0.085770614,0.087547421,0.090234242,0.092576139,0.094730675,0.096011959,0.096609108,0.097343385,0.097735517,0.097213514,0.097677112,0.098527022,0.099770986,0.100637354,0.101195812,0.102464415,0.103721537,0.104340561,0.104070254,0.104409985,0.103544675,0.103272907,0.103111386,0.103244178,0.103906728,0.104349665,0.106221251,0.10627991,0.105605274,0.104006529,0.101013936,0.096437491,0.08984933,0.083618276,0.076074921,0.066736825,0.061134357,0.0596225,0.05937029,0.058624029,0.058258116,0.059527934,0.059330642,0.059401024,0.06007877,0.061819915,0.063248239,0.065256782,0.066791534,0.068277083,0.068986595,0.068767391,0.06647677,0.062711544,0.056652952,0.050299179,0.047838237,0.045984108,0.044527385,0.043209393,0.04204696,0.040741432,0.039632007,0.038032878,0.036317971,0.033931646,0.033211347,0.032251418,0.0312184
